Family,Taxon,Specimen No.,Sex,ThL,LuL,PreL,PosL,TL,TH,TW,DL,DH,DW,LL,LH,LW
Felidae,Neofelis nebulosa,399291,F,208.8,168.6,171.8,205.5,15.4,8.6,10.7,16.8,9.1,16.2,26.0,10.8,17.8
Felidae,Neofelis nebulosa,545387,F,229.9,182.6,187.4,225.0,16.8,9.5,12.6,19.8,10.2,16.0,27.8,13.3,21.3
Felidae,Neofelis nebulosa,1965.1.18.1,F,217.2,178.4,178.6,217.0,16.2,9.4,11.9,18.6,10.2,17.2,26.9,12.2,19.7
Felidae,Panthera leo,54995,M,465.2,371.6,382.8,454.0,34.3,24.2,27.8,39.3,24.7,41.3,54.8,29.2,44.7
Felidae,Panthera leo,54996,?,388.0,341.2,351.5,377.7,31.6,24.3,26.9,35.3,24.1,38.8,51.3,26.5,41.7
Felidae,Panthera leo,172677,M,486.8,384.6,398.1,473.3,36.2,26.4,28.0,38.9,27.9,41.2,56.3,31.1,49.4
Felidae,Panthera leo,A12319,M,427.8,332.6,352.4,408.0,33.1,22.8,23.5,32.6,24.2,36.1,50.0,28.1,41.6
Felidae,Panthera leo,A22705,M,471.4,369.0,391.0,449.4,35.5,29.0,32.2,38.6,28.7,45.6,54.8,35.0,49.7
Felidae,Panthera onca,35571,M,357.8,275.1,294.1,338.8,28.0,20.8,24.3,28.6,,,40.9,22.3,36.2
Felidae,Panthera onca,80063,M,334.5,263.4,276.3,321.6,25.0,17.9,20.8,27.6,18.4,27.0,39.5,20.7,31.8
Felidae,Panthera onca,139959,M,349.3,278.6,286.5,341.4,25.9,18.3,19.3,27.7,17.9,28.8,42.9,19.7,31.8
Felidae,Panthera onca,214738,?,300.4,246.7,242.1,305.0,21.7,15.7,20.7,24.8,16.1,26.4,38.8,18.5,30.0
Felidae,Panthera onca,A49393,?,381.1,292.1,309.0,364.2,27.8,19.9,20.2,31.1,20.9,31.3,45.3,21.6,33.6
Felidae,Panthera pardus,54854,F,268.0,242.0,213.8,296.2,21.6,13.4,16.0,24.7,13.4,23.3,37.6,15.8,27.1
Felidae,Panthera pardus,155454,M,304.5,258.1,249.9,312.7,22.0,15.7,17.0,25.2,16.0,23.7,38.0,17.9,26.8
Felidae,Panthera pardus,156284,M,305.0,259.4,250.3,314.1,22.3,14.1,16.6,25.0,14.6,23.2,38.0,16.9,25.6
